"ESTRATO","DEPARTAMENTO","SEXO","EDAD","ESTADO_CIVIL","EDUCACION","FORMAL","HORAS_TRAB_SEM","BUSC_TRAB","TRAB_VEN","INGRESO_D_P","INGRESO_E_P","INGRESO_D_S","INGRESO_E_S","REMESAS_V","REMESAS_O"
2,"ANCASH",2,28,6,3,NA,28,2,1,NA,NA,NA,NA,NA,NA
2,"ANCASH",2,21,5,6,2,0,1,1,350,0,NA,NA,2,NA
2,"ANCASH",1,31,1,6,2,56,2,1,437,0,NA,NA,NA,NA
2,"ANCASH",2,36,1,6,2,56,2,1,300,0,NA,NA,2,NA
2,"ANCASH",2,36,3,6,NA,42,1,1,NA,NA,NA,NA,NA,NA
2,"ANCASH",1,19,6,6,NA,42,1,2,NA,NA,NA,NA,NA,NA
2,"ANCASH",2,45,1,9,2,66,2,1,40,6,NA,NA,1,NA
2,"ANCASH",1,55,1,6,NA,70,2,1,NA,NA,NA,NA,NA,2
2,"ANCASH",2,26,6,10,2,95,2,1,230,56,560,150,1,NA
3,"ANCASH",1,31,2,10,NA,0,2,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",2,32,2,9,2,0,2,1,40,10,NA,NA,NA,NA
3,"ANCASH",1,60,2,5,2,30,2,1,30,0,NA,NA,NA,NA
3,"ANCASH",2,39,5,6,2,84,1,2,195,77,NA,NA,1,NA
3,"ANCASH",1,61,2,3,NA,66,1,1,NA,NA,NA,NA,1,NA
3,"ANCASH",2,35,5,10,1,36,2,1,1200,0,NA,NA,3,NA
2,"ANCASH",2,29,5,10,2,16,1,1,80,0,NA,NA,1,NA
2,"ANCASH",2,26,5,10,2,0,2,2,700,0,NA,NA,1,NA
2,"ANCASH",2,38,5,5,2,16,1,2,120,0,NA,NA,NA,NA
2,"ANCASH",1,18,1,NA,2,72,2,2,280,0,NA,NA,1,NA
2,"ANCASH",2,23,1,8,2,76,2,1,400,0,NA,NA,1,NA
2,"ANCASH",2,28,1,10,2,0,2,1,480,0,NA,NA,1,NA
2,"ANCASH",1,39,1,6,2,24,2,1,400,0,NA,NA,2,NA
2,"ANCASH",1,40,5,10,2,54,2,1,430,0,NA,NA,3,NA
3,"ANCASH",1,25,1,6,2,56,2,1,250,0,NA,NA,NA,NA
3,"ANCASH",1,36,1,5,NA,2,1,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",2,32,5,8,2,45,1,2,40,6,NA,NA,NA,NA
3,"ANCASH",1,54,2,5,NA,72,2,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",2,49,2,5,2,60,2,1,274,60,NA,NA,1,NA
3,"ANCASH",1,14,6,NA,NA,24,NA,2,NA,NA,NA,NA,NA,NA
2,"ANCASH",1,54,2,NA,1,39,2,1,2300,0,2500,0,3,NA
2,"ANCASH",2,43,2,10,NA,19,2,1,NA,NA,120,0,1,NA
2,"ANCASH",2,40,1,5,2,54,2,2,40,8,NA,NA,1,NA
2,"ANCASH",1,52,1,4,NA,17,2,1,NA,NA,60,16,NA,NA
2,"ANCASH",2,43,1,10,2,16,1,1,156,0,NA,NA,1,NA
2,"ANCASH",1,46,1,6,2,18,1,1,160,0,NA,NA,1,NA
2,"ANCASH",1,18,1,5,2,30,2,1,200,0,NA,NA,1,NA
2,"ANCASH",2,41,1,9,NA,14,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",1,35,1,8,2,66,2,1,300,0,NA,NA,1,NA
2,"ANCASH",2,24,5,9,2,43,2,1,240,0,NA,NA,1,NA
2,"ANCASH",1,41,6,4,2,18,2,1,150,0,NA,NA,1,NA
5,"ANCASH",2,51,3,3,NA,36,2,2,NA,NA,NA,NA,NA,NA
5,"ANCASH",2,45,2,10,2,24,2,1,140,0,NA,NA,1,NA
5,"ANCASH",2,20,6,3,2,24,2,2,140,0,NA,NA,NA,NA
5,"ANCASH",1,23,1,6,2,24,2,2,140,0,NA,NA,NA,NA
5,"ANCASH",1,29,1,6,NA,48,2,1,NA,NA,NA,NA,NA,NA
5,"ANCASH",2,51,1,5,2,42,2,1,35,0,NA,NA,1,NA
5,"ANCASH",1,18,6,NA,2,6,2,2,360,0,NA,NA,2,2
5,"ANCASH",1,26,1,3,2,42,1,1,360,42,NA,NA,1,NA
3,"ANCASH",1,25,1,6,2,26,1,1,156,12,NA,NA,1,NA
3,"ANCASH",2,24,1,9,2,18,2,2,30,0,NA,NA,NA,NA
3,"ANCASH",1,33,2,10,NA,30,2,1,NA,NA,114,0,NA,NA
3,"ANCASH",1,40,2,10,2,9,1,1,68,7,NA,NA,2,NA
3,"ANCASH",2,40,2,6,2,5,2,1,35,0,NA,NA,NA,NA
3,"ANCASH",1,18,6,5,2,5,1,2,35,0,NA,NA,NA,NA
3,"ANCASH",1,49,4,11,2,84,1,1,240,60,NA,NA,3,NA
3,"ANCASH",1,25,6,5,NA,24,2,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",1,48,5,5,2,24,2,1,520,0,NA,NA,1,1
3,"ANCASH",1,25,5,6,2,42,2,1,350,21,NA,NA,1,NA
3,"ANCASH",2,19,6,6,2,63,2,2,200,70,NA,NA,1,NA
3,"ANCASH",2,50,5,5,2,63,2,2,800,200,NA,NA,NA,NA
3,"ANCASH",1,30,2,5,NA,56,2,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",2,28,2,6,2,24,2,2,20,0,NA,NA,NA,NA
3,"ANCASH",1,31,1,6,NA,39,1,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",1,29,2,10,1,54,2,1,1000,0,NA,NA,1,NA
3,"ANCASH",2,28,2,10,NA,4,2,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",1,31,5,6,NA,84,2,1,NA,NA,NA,NA,1,NA
1,"ANCASH",1,55,2,10,2,98,2,1,550,0,NA,NA,1,NA
1,"ANCASH",2,16,6,NA,2,24,2,2,500,0,NA,NA,NA,NA
1,"ANCASH",1,38,1,6,2,52,1,1,450,56,NA,NA,1,NA
1,"ANCASH",2,28,1,5,2,54,2,1,500,48,NA,NA,1,NA
1,"ANCASH",2,30,5,10,2,40,2,2,370,25,NA,NA,1,NA
1,"ANCASH",2,24,1,6,2,54,1,2,200,66,NA,NA,1,NA
1,"ANCASH",1,28,1,6,2,84,2,1,526,49,NA,NA,1,NA
1,"ANCASH",1,30,6,10,2,36,2,1,400,40,NA,NA,3,NA
1,"ANCASH",2,32,6,10,2,83,1,1,250,24,200,0,1,NA
1,"ANCASH",1,60,1,5,NA,3,2,1,NA,NA,NA,NA,NA,NA
1,"ANCASH",2,54,1,10,2,68,2,1,1000,200,NA,NA,NA,NA
1,"ANCASH",1,19,6,NA,2,72,2,2,250,0,NA,NA,NA,NA
1,"ANCASH",2,32,6,10,1,95,2,1,1700,120,500,0,3,NA
1,"ANCASH",1,21,1,4,NA,84,2,1,NA,NA,NA,NA,2,NA
1,"ANCASH",2,28,1,10,2,102,2,1,500,0,NA,NA,1,NA
2,"ANCASH",1,28,1,7,NA,70,2,1,NA,NA,NA,NA,1,NA
1,"ANCASH",1,44,2,NA,NA,91,2,2,NA,NA,NA,NA,3,NA
1,"ANCASH",2,28,2,9,2,60,2,2,250,75,NA,NA,3,NA
1,"ANCASH",1,20,6,6,2,60,2,1,400,0,NA,NA,2,NA
1,"ANCASH",2,57,3,10,2,48,1,1,200,42,NA,NA,2,NA
1,"ANCASH",2,25,1,10,2,70,2,1,280,49,NA,NA,2,NA
1,"ANCASH",1,30,1,8,2,84,2,1,230,56,NA,NA,1,NA
1,"ANCASH",1,30,2,8,2,72,2,1,300,0,NA,NA,1,NA
1,"ANCASH",2,37,2,10,2,72,2,1,70,0,NA,NA,NA,NA
3,"ANCASH",1,30,2,8,NA,56,2,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",2,27,2,6,2,49,2,1,250,49,NA,NA,NA,NA
3,"ANCASH",2,48,5,10,2,63,2,1,250,54,NA,NA,NA,NA
