"ESTRATO","DEPARTAMENTO","P204","P205A","P612","P613","P614T","P615T","P617","P619","P621","P6221","P6222","P625","P635","P636","P6381","P6382","P6383","P6384","P6391","P6392"
3,"CALLAO",2,26,1,2,8,60,1,2,4,600,0,1,1,1,2,2,2,2,1,2
3,"CALLAO",2,26,1,2,10,48,1,1,3,450,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",1,30,1,2,4,24,1,1,2,60,10,1,2,1,2,2,2,2,2,2
2,"CALLAO",2,28,1,2,6,36,2,2,3,325,20,2,2,1,2,2,2,2,1,2
2,"CALLAO",2,20,1,2,4,48,2,2,2,180,10,1,2,1,2,2,2,2,2,2
2,"CALLAO",1,31,1,1,0,72,2,2,3,500,0,2,1,1,2,2,2,2,1,2
2,"CALLAO",2,29,1,2,3,54,1,2,3,400,0,1,1,1,2,2,2,2,1,2
2,"CALLAO",1,20,1,2,20,77,1,2,4,930,70,2,2,1,2,2,2,2,1,2
2,"CALLAO",1,27,1,2,10,60,2,2,2,250,0,2,2,2,2,2,2,2,2,2
1,"CALLAO",1,28,1,2,15,66,2,2,2,230,160,2,2,1,2,2,2,2,1,2
1,"CALLAO",2,29,1,2,2,66,2,2,2,200,0,2,2,1,2,2,2,2,2,2
1,"CALLAO",1,21,1,2,3,66,2,2,3,480,0,2,2,1,2,2,2,2,1,2
1,"CALLAO",1,34,1,2,20,72,2,2,3,700,0,1,1,1,2,2,2,2,1,2
1,"CALLAO",1,26,1,2,5,48,2,2,3,350,0,2,2,1,2,2,2,2,1,2
1,"CALLAO",1,35,1,2,4,66,2,2,2,300,0,2,2,1,2,2,2,2,1,2
1,"CALLAO",2,32,1,2,3,76,2,2,2,250,20,1,2,2,2,2,2,2,1,2
