"ESTRATO","DEPARTAMENTO","P204","P205_A","P612","P613","P614_T","P615_T","P617","P619","P621","P622_1","P622_2","P625","P635","P636","P638_1","P638_2","P638_3","P638_4","P639_1","P639_1_1","P639_1_2","P639_1_3","P639_2"
3,"AREQUIPA",1,31,4,2,2,70,2,2,2,280,0,2,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,32,6,2,1,12,1,1,2,50,10,2,3,2,1,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,32,3,2,10,60,2,2,4,1200,0,2,3,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",1,33,4,1,6,48,2,2,1,70,10,1,1,1,2,2,2,2,1,1,2,1,2
3,"AREQUIPA",1,16,4,2,3,67,1,1,2,180,42,2,3,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,31,4,2,2,48,1,1,2,250,0,2,3,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",1,38,4,2,3,32,2,1,3,800,0,1,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",1,33,4,2,4,49,1,1,3,840,70,1,3,1,2,2,2,2,1,1,3,3,2
3,"AREQUIPA",1,46,3,2,5,72,2,1,4,930,180,2,3,1,1,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,43,3,2,8,72,2,2,2,230,0,2,3,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",1,34,4,2,4,78,2,2,3,500,180,1,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,31,4,2,2,66,2,2,4,1200,40,2,1,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",1,40,4,2,5,63,2,1,3,480,150,1,1,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,42,3,2,5,48,2,1,3,225,0,2,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,40,3,2,12,48,2,2,3,500,120,2,3,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",2,38,3,2,8,48,2,2,2,250,50,2,3,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",2,33,3,2,5,72,2,2,2,400,180,2,3,1,2,2,2,2,1,1,2,3,2
3,"AREQUIPA",1,32,3,2,5,72,2,2,3,500,30,2,3,1,2,2,2,2,1,1,2,3,2
3,"AREQUIPA",2,32,3,1,15,67,2,2,3,465,0,2,3,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",1,31,4,2,NA,66,1,2,3,475,112,1,3,1,2,2,2,2,1,2,3,2,2
3,"AREQUIPA",1,34,4,2,1,72,1,2,2,230,48,2,3,1,2,2,2,2,1,2,3,2,2
3,"AREQUIPA",1,32,4,2,1,72,1,2,3,225,48,2,3,1,2,2,2,2,1,2,2,2,2
3,"AREQUIPA",2,28,3,2,50,66,1,2,2,220,0,2,3,1,2,2,2,2,1,2,3,2,2
3,"AREQUIPA",1,25,3,2,10,60,2,2,3,550,150,1,3,1,2,2,2,2,1,2,5,1,2
3,"AREQUIPA",1,33,3,1,10,77,1,2,2,230,18,2,3,1,2,2,2,2,1,2,4,1,2
3,"AREQUIPA",1,38,4,2,3,77,1,2,1,35,0,1,2,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,34,3,2,80,52,2,2,1,55,15,2,1,2,2,2,2,2,1,2,6,1,2
3,"AREQUIPA",1,41,4,2,15,40,1,1,1,45,0,2,1,1,2,2,2,1,2,NA,NA,NA,2
3,"AREQUIPA",1,41,4,2,3,54,1,2,4,950,0,1,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,42,4,2,3,54,2,2,4,950,0,1,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,19,3,2,5,72,2,2,1,25,8,2,2,2,2,2,2,2,1,1,5,1,2
3,"AREQUIPA",1,20,7,2,2,20,2,2,NA,NA,NA,1,2,2,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,36,3,2,68,66,2,2,4,1200,0,1,2,1,2,2,2,2,1,1,4,1,2
2,"AREQUIPA",2,31,3,2,6,70,2,2,4,900,0,1,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,33,3,2,68,66,1,2,4,1000,0,1,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,20,4,2,12,60,1,2,2,150,0,2,3,2,2,2,2,2,1,1,3,1,2
2,"AREQUIPA",2,60,3,2,8,60,2,2,3,950,0,2,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,41,4,2,1,70,1,2,3,885,0,2,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,19,4,1,1,70,1,2,3,950,0,2,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,23,4,1,6,66,2,2,2,250,48,2,3,1,2,2,2,2,1,3,4,1,2
2,"AREQUIPA",1,31,4,2,2,78,1,2,1,50,8,2,3,1,2,2,2,2,1,2,3,1,2
2,"AREQUIPA",1,39,4,2,25,66,1,2,3,540,112,2,3,1,2,2,2,2,1,2,2,2,2
2,"AREQUIPA",1,23,4,2,25,66,2,2,1,50,84,2,3,1,2,2,2,2,1,2,2,1,2
2,"AREQUIPA",1,25,4,2,3,77,1,2,3,420,100,2,1,1,2,2,2,2,1,1,4,2,2
2,"AREQUIPA",1,24,4,2,3,60,1,2,1,60,0,2,3,1,2,2,2,2,1,1,3,2,2
